model_id,score_threshold,r_squared,rmse,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
yolov5nu_dataset_1_exp_dataset_quality_1,0.29,0.9740932642487047,0.5916079783099616,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, 0, 0, 0, 0, 0, 0, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9744276556776557,0.053220862884580694,0.7058112364586502,0.9761690454759759,0.8167947549785733,0.7058112364586502,-1.0,-1.0,0.06752136752136752,0.6029914529914528,0.7820512820512822,0.7820512820512822,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_1,0.4,0.9740932642487047,0.5916079783099616,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, 0, 0, 0, 0, 0, 0, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9744276556776557,0.053220862884580694,0.7058112364586502,0.9761690454759759,0.8167947549785733,0.7058112364586502,-1.0,-1.0,0.06752136752136752,0.6029914529914528,0.7820512820512822,0.7820512820512822,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_1,0.5,0.9740932642487047,0.5916079783099616,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, 0, 0, 0, 0, 0, 0, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9744276556776557,0.053220862884580694,0.7058112364586502,0.9761690454759759,0.8167947549785733,0.7058112364586502,-1.0,-1.0,0.06752136752136752,0.6029914529914528,0.7820512820512822,0.7820512820512822,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_1,0.6,0.9666913397483345,0.6708203932499369,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, 0, 1, 0, 0, 0, 0, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9650526556776556,0.056935495651969016,0.7014377073484361,0.9662761035928921,0.8167947549785733,0.7014377073484361,-1.0,-1.0,0.06752136752136752,0.599145299145299,0.7760683760683761,0.7760683760683761,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_1,0.7,0.9185788304959289,1.0488088481701516,"[0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, -1, 1, 0, 3, 0, 1, 0, 0, 1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9453731684981685,0.07683233063481992,0.6852283411940809,0.9464727722772276,0.798576633335447,0.6852283411940809,-1.0,-1.0,0.06752136752136752,0.5957264957264956,0.7576923076923077,0.7576923076923077,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_1,0.8,0.2450037009622501,3.1937438845342623,"[1, 4, 2, 1, 3, 2, 4, 3, 0, 4, 5, 2, 2, 0, 7, 4, 5, 0, 1, 2]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.766019536019536,0.1682471489529901,0.5579784674467874,0.7683059514742684,0.6437796377727216,0.5579784674467874,-1.0,-1.0,0.06752136752136752,0.5444444444444444,0.6175213675213674,0.6175213675213674,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_1,0.9,-14.268553940321349,11.772142257606868,"[8, 6, 14, 14, 13, 12, 13, 14, 13, 12, 6, 12]","[9, 7, 15, 15, 14, 13, 15, 16, 16, 13, 8, 14]",0.12093889906389904,0.05364363496812612,0.0540900980854388,0.07755775577557755,0.06501650165016501,0.0540900980854388,-1.0,-1.0,0.03888888888888889,0.05683760683760684,0.05683760683760684,0.05683760683760684,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_2,0.29,0.9740932642487047,0.5916079783099616,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, -1, 0, 0, 0, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9765109890109891,0.04823932539110706,0.6702584122216546,0.9770399453738479,0.8185806283376801,0.6702584122216546,-1.0,-1.0,0.06965811965811966,0.5658119658119658,0.7401709401709402,0.7401709401709402,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_2,0.4,0.9740932642487047,0.5916079783099616,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, -1, 0, 0, 0, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9765109890109891,0.04823932539110706,0.6702584122216546,0.9770399453738479,0.8185806283376801,0.6702584122216546,-1.0,-1.0,0.06965811965811966,0.5658119658119658,0.7401709401709402,0.7401709401709402,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_2,0.5,0.9777942264988897,0.5477225575051661,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9836538461538462,0.03988936252440681,0.6702584122216546,0.9770399453738479,0.8185806283376801,0.6702584122216546,-1.0,-1.0,0.06965811965811966,0.5658119658119658,0.7401709401709402,0.7401709401709402,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_2,0.6,0.9481865284974094,0.8366600265340756,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, 0, 2, 0, 1, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9673076923076923,0.06488781853385765,0.6581457865591972,0.9671269758554802,0.809661052169537,0.6581457865591972,-1.0,-1.0,0.06965811965811966,0.561965811965812,0.7269230769230769,0.7269230769230769,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_2,0.7,0.24870466321243523,3.1859064644147983,"[1, 6, 0, 4, 0, 2, 5, 2, 0, 1, 3, 2, 0, 0, 6, 1, 7, 0, 1, 4]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.7938629426129427,0.22273425758781445,0.5502587644385128,0.799046571323799,0.6841710853996291,0.5502587644385128,-1.0,-1.0,0.06965811965811966,0.5115384615384616,0.6064102564102565,0.6064102564102565,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_2,0.8,-8.422418553285477,10.88577052853862,"[5, 11, 13, 6, 14, 14, 12, 12, 5, 14, 7, 11]","[7, 13, 14, 7, 15, 16, 13, 15, 7, 16, 8, 14]",0.1560363247863248,0.07270436998452001,0.06996674457361701,0.0891089108910891,0.0891089108910891,0.06996674457361701,-1.0,-1.0,0.04230769230769231,0.07307692307692307,0.07307692307692307,0.07307692307692307,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_3,0.29,0.9592894152479645,0.7416198487095663,"[0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 2, -2, 0, -1, 0, 0, -1, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9712225274725276,0.05242769465835733,0.6015259252092277,0.9579314623549223,0.71278071083804,0.6015259252092277,-1.0,-1.0,0.06367521367521368,0.5346153846153846,0.6995726495726495,0.6995726495726495,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_3,0.4,0.9592894152479645,0.7416198487095663,"[0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 2, -2, 0, -1, 0, 0, -1, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9712225274725276,0.05242769465835733,0.6015259252092277,0.9579314623549223,0.71278071083804,0.6015259252092277,-1.0,-1.0,0.06367521367521368,0.5346153846153846,0.6995726495726495,0.6995726495726495,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_3,0.5,0.9703923019985197,0.6324555320336759,"[0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 2, -1, 0, 0, 1, 0, -1, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9790865384615385,0.037772524286527775,0.5979305232961551,0.9483660990389297,0.7045998080019937,0.5979305232961551,-1.0,-1.0,0.06367521367521368,0.5346153846153846,0.6961538461538461,0.6961538461538461,-1.0,-1.0
