Model,Shots,Dataset,Score Threshold,R-Squared,RMSE,MAPE,Count Accuracy Avg,Count Accuracy SD,Pred Counts,GT Counts,AP (IoU=.50:.95),AP (IoU=.50),AP (IoU=.75),AP Small,AP Medium,AP Large,AR Max1,AR Max10,AR Max100,AR Small,AR Medium,AR Large
vits,1,1,0,-56.899999999999984,19.23321779283609,126.9439356939357,-0.26943935693935694,1.4880128008579603,"[15, 55, 14, 37, 6, 13, 39, 34, 21, 27, 20, 30]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.006585963123738542,0.025461722738148167,0.0044004400440044,0.006810861127555824,0.0,-1.0,0.013414634146341465,0.02682926829268293,0.03780487804878048,0.0382716049382716,0.0,-1.0
vits,1,1,0.05,-20.313043478260866,11.669047376142863,74.82855107855109,0.2517144892144892,0.2859338831183133,"[0, 10, 0, 4, 0, 1, 4, 2, 1, 0, 7, 9]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.004131305987741631,0.011236837969511236,0.0044004400440044,0.004131305987741631,0.0,-1.0,0.009146341463414634,0.012804878048780489,0.012804878048780489,0.012962962962962963,0.0,-1.0
vits,1,1,0.1,-22.2695652173913,12.192894105447921,82.22718253968254,0.1777281746031746,0.22071757896772837,"[0, 6, 0, 2, 0, 0, 3, 1, 1, 0, 5, 8]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.004131305987741631,0.011236837969511236,0.0044004400440044,0.004131305987741631,0.0,-1.0,0.009146341463414634,0.012195121951219513,0.012195121951219513,0.012345679012345678,0.0,-1.0
vits,1,1,0.15,-23.508695652173905,12.51332622979731,87.79265873015873,0.1220734126984127,0.1461483191950774,"[0, 3, 0, 1, 0, 0, 3, 1, 1, 0, 3, 7]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.004131305987741631,0.011236837969511236,0.0044004400440044,0.004131305987741631,0.0,-1.0,0.009146341463414634,0.012195121951219513,0.012195121951219513,0.012345679012345678,0.0,-1.0
vits,1,1,0.2,-24.721739130434777,12.819256348686274,90.9804894179894,0.09019510582010581,0.0929192482390713,"[0, 2, 0, 1, 0, 0, 3, 1, 1, 0, 2, 4]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.0035812509822410812,0.008486562942008486,0.0044004400440044,0.0035812509822410812,0.0,-1.0,0.009146341463414634,0.010365853658536586,0.010365853658536586,0.010493827160493827,0.0,-1.0
vits,1,1,0.25,-25.399999999999995,12.987173159185437,92.09160052910053,0.0790839947089947,0.08690168367252142,"[0, 2, 0, 1, 0, 0, 3, 0, 1, 0, 2, 3]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.002874037403740374,0.0049504950495049506,0.0044004400440044,0.002874037403740374,0.0,-1.0,0.007926829268292683,0.009146341463414634,0.009146341463414634,0.009259259259259259,0.0,-1.0
vits,1,1,0.3,-25.595652173913038,13.035208731227385,93.01752645502647,0.06982473544973544,0.07644780840900096,"[0, 1, 0, 1, 0, 0, 3, 0, 1, 0, 2, 3]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.002764026402640264,0.0044004400440044,0.0044004400440044,0.002764026402640264,0.0,-1.0,0.007926829268292683,0.007926829268292683,0.007926829268292683,0.00802469135802469,0.0,-1.0
vits,1,1,0.4,-25.947826086956514,13.121229617176382,93.61276455026456,0.0638723544973545,0.07883472175445237,"[0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 2, 3]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.002764026402640264,0.0044004400440044,0.0044004400440044,0.002764026402640264,0.0,-1.0,0.007926829268292683,0.007926829268292683,0.007926829268292683,0.00802469135802469,0.0,-1.0
vits,1,1,0.5,-25.947826086956514,13.121229617176382,93.61276455026456,0.0638723544973545,0.07883472175445237,"[0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 2, 3]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.002764026402640264,0.0044004400440044,0.0044004400440044,0.002764026402640264,0.0,-1.0,0.007926829268292683,0.007926829268292683,0.007926829268292683,0.00802469135802469,0.0,-1.0
vits,1,1,0.6,-26.4695652173913,13.24764129949177,95.20998677248679,0.04790013227513227,0.0696148918405918,"[0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 2, 2]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.0008663366336633663,0.0012376237623762376,0.0012376237623762376,0.0008663366336633663,0.0,-1.0,0.00426829268292683,0.00426829268292683,0.00426829268292683,0.004320987654320987,0.0,-1.0
vits,1,1,0.7,-26.69130434782608,13.30100246848585,96.13591269841271,0.03864087301587301,0.06796125503668615,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 2]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
vits,1,1,0.8,-26.69130434782608,13.30100246848585,96.13591269841271,0.03864087301587301,0.06796125503668615,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 2]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
vits,1,1,0.9,-27.04347826086956,13.385315336840842,96.65674603174604,0.033432539682539675,0.058021637147697466,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
vits,1,1,0.98,-28.15217391304347,13.647344063956181,98.2936507936508,0.01706349206349206,0.04019314354598101,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2]","[16, 9, 16, 8, 15, 13, 16, 15, 14, 13, 14, 15]",0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
vits,1,2,0,-516.6297169811322,46.84815898197068,334.5495337995339,-2.3454953379953385,2.009571698302676,"[48, 19, 67, 70, 81, 21, 27, 46, 87, 70, 72, 21, 48, 20, 78, 63, 26, 46, 89, 64]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",0.00031894314077203804,0.002321514026934014,1.5592110392141577e-05,0.00034500438278672104,0.0,-1.0,0.0,0.003629032258064516,0.015322580645161288,0.01583333333333333,0.0,-1.0
vits,1,2,0.05,-29.094339622641517,11.29601699715435,66.17296592296591,0.3382703407703408,0.5461695970227097,"[14, 8, 22, 7, 7, 3, 11, 4, 10, 27, 19, 5, 2, 11, 37, 48, 17, 3, 11, 16]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",0.00016362425269676292,0.0013440258052954618,0.0,0.00016362425269676292,0.0,-1.0,0.0,0.0024193548387096775,0.004435483870967742,0.004583333333333333,0.0,-1.0
vits,1,2,0.1,-24.436320754716988,10.385085459446158,61.282356532356545,0.38717643467643464,0.47564344084179094,"[12, 7, 15, 1, 1, 2, 9, 1, 5, 13, 9, 4, 1, 9, 33, 43, 16, 3, 9, 10]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",0.00014815395566705994,0.0013440258052954618,0.0,0.00014815395566705994,0.0,-1.0,0.0,0.0012096774193548388,0.00282258064516129,0.002916666666666667,0.0,-1.0
vits,1,2,0.15,-20.509433962264154,9.549869109050658,66.23748473748475,0.3376251526251526,0.3282204678696937,"[12, 5, 11, 1, 0, 2, 9, 0, 4, 11, 5, 2, 0, 7, 27, 36, 15, 3, 7, 9]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",0.00011513828991914381,0.0010138691478163006,0.0,0.00011513828991914381,0.0,-1.0,0.0,0.0012096774193548388,0.0020161290322580645,0.0020833333333333333,0.0,-1.0
vits,1,2,0.2,-19.601415094339625,9.346122190513025,68.98662448662446,0.31013375513375513,0.2459313797313136,"[10, 5, 8, 0, 0, 2, 7, 0, 2, 7, 3, 2, 0, 7, 22, 30, 15, 3, 4, 6]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",8.991283743758992e-05,0.0007616146230007616,0.0,8.991283743758992e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0012096774193548388,0.00125,0.0,-1.0
vits,1,2,0.25,-19.341981132075475,9.287087810503355,68.94831557331557,0.3105168442668443,0.24244946850486918,"[9, 5, 5, 0, 0, 2, 7, 0, 2, 5, 2, 2, 0, 7, 20, 27, 15, 3, 4, 6]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",8.991283743758992e-05,0.0007616146230007616,0.0,8.991283743758992e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0012096774193548388,0.00125,0.0,-1.0
vits,1,2,0.3,-19.3183962264151,9.281702430050212,69.3289627039627,0.30671037296037296,0.24885934004679675,"[9, 5, 4, 0, 0, 1, 6, 0, 2, 4, 1, 2, 0, 5, 18, 21, 15, 3, 4, 5]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",8.991283743758992e-05,0.0007616146230007616,0.0,8.991283743758992e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0012096774193548388,0.00125,0.0,-1.0
vits,1,2,0.4,-21.688679245283023,9.808159868191384,72.12459762459761,0.2787540237540237,0.2983285226279115,"[8, 3, 1, 0, 0, 1, 4, 0, 1, 4, 0, 1, 0, 4, 14, 20, 14, 3, 3, 5]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",8.991283743758992e-05,0.0007616146230007616,0.0,8.991283743758992e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0012096774193548388,0.00125,0.0,-1.0
vits,1,2,0.5,-23.115566037735853,10.111874208078342,75.49364524364523,0.24506354756354756,0.28676475040552935,"[6, 3, 1, 0, 0, 1, 4, 0, 1, 4, 0, 1, 0, 1, 14, 18, 14, 1, 2, 4]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",8.991283743758992e-05,0.0007616146230007616,0.0,8.991283743758992e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0012096774193548388,0.00125,0.0,-1.0
vits,1,2,0.6,-23.929245283018872,10.2810505299799,77.46388333888332,0.22536116661116656,0.2953531465527364,"[3, 3, 1, 0, 0, 0, 4, 0, 0, 4, 0, 1, 0, 1, 13, 15, 13, 1, 1, 4]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",7.616146230007617e-05,0.0007616146230007616,0.0,7.616146230007617e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0004032258064516129,0.00041666666666666664,0.0,-1.0
vits,1,2,0.7,-25.344339622641513,10.56882207249228,81.46171883671883,0.18538281163281162,0.2592947435229989,"[1, 3, 0, 0, 0, 0, 4, 0, 0, 4, 0, 1, 0, 1, 11, 8, 12, 1, 0, 4]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",7.616146230007617e-05,0.0007616146230007616,0.0,7.616146230007617e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0004032258064516129,0.00041666666666666664,0.0,-1.0
vits,1,2,0.8,-26.8183962264151,10.86047881080756,84.18394105894107,0.15816058941058944,0.2487672839038297,"[1, 2, 0, 0, 0, 0, 3, 0, 0, 4, 0, 0, 0, 1, 9, 8, 10, 0, 0, 3]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",7.616146230007617e-05,0.0007616146230007616,0.0,7.616146230007617e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0004032258064516129,0.00041666666666666664,0.0,-1.0
vits,1,2,0.9,-29.67216981132076,11.403946685248927,89.36009823509823,0.10639901764901767,0.19402843826256522,"[1, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 6, 3, 9, 0, 0, 3]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",7.616146230007617e-05,0.0007616146230007616,0.0,7.616146230007617e-05,0.0,-1.0,0.0,0.0004032258064516129,0.0004032258064516129,0.00041666666666666664,0.0,-1.0
vits,1,2,0.98,-34.30660377358491,12.235195135346228,96.72727272727273,0.03272727272727273,0.10611081062847182,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 0, 0, 0]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
vits,1,2,0.99,-35.13207547169812,12.37739875741264,98.42424242424241,0.01575757575757576,0.04789029397609312,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0]","[8, 12, 15, 15, 13, 12, 15, 13, 11, 13, 9, 9, 12, 12, 15, 14, 11, 12, 12, 15]",0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
vits,1,3,0,-39.15244407622204,13.759087905817013,104.71760878010879,-0.04717608780108779,0.5930320592602137,"[3, 4, 34, 34, 3, 0, 3, 34, 14, 28, 0, 8, 3, 21, 30, 25]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.011173082128836559,0.03629456175636169,0.005589268604279782,0.01229975615854155,0.02228810793167229,-1.0,0.01116751269035533,0.026395939086294413,0.034517766497461924,0.030857142857142854,0.06363636363636363,-1.0
vits,1,3,0.05,-30.52278376139188,12.19118534023661,97.61904761904762,0.0238095238095238,0.052570005156713354,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.007920792079207921,0.019801980198019802,0.0049504950495049506,0.009900990099009901,0.0,-1.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005714285714285715,0.0,-1.0
vits,1,3,0.1,-30.88069594034797,12.260199835239229,98.0654761904762,0.01934523809523809,0.05135545811528986,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.007920792079207921,0.019801980198019802,0.0049504950495049506,0.009900990099009901,0.0,-1.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005714285714285715,0.0,-1.0
vits,1,3,0.15,-30.88069594034797,12.260199835239229,98.0654761904762,0.01934523809523809,0.05135545811528986,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.007920792079207921,0.019801980198019802,0.0049504950495049506,0.009900990099009901,0.0,-1.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005714285714285715,0.0,-1.0
vits,1,3,0.2,-31.21209610604805,12.323757543866238,98.51190476190477,0.014880952380952377,0.04281992431529213,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.007920792079207921,0.019801980198019802,0.0049504950495049506,0.009900990099009901,0.0,-1.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005714285714285715,0.0,-1.0
vits,1,3,0.25,-31.49047224523612,12.376893794486563,99.03273809523809,0.009672619047619048,0.02567772905764494,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.007920792079207921,0.019801980198019802,0.0049504950495049506,0.009900990099009901,0.0,-1.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005714285714285715,0.0,-1.0
vits,1,3,0.3,-31.7953603976802,12.434830115445887,99.55357142857143,0.004464285714285712,0.017290104224140245,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.0029702970297029695,0.0099009900990099,0.0,0.0029702970297029695,0.0,-1.0,0.0015228426395939086,0.0015228426395939086,0.0015228426395939086,0.0017142857142857144,0.0,-1.0
vits,1,3,0.4,-31.7953603976802,12.434830115445887,99.55357142857143,0.004464285714285712,0.017290104224140245,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 15, 14, 9, 11, 10, 11, 12, 8, 15, 15, 13, 11, 14, 11, 14]",0.0029702970297029695,0.0099009900990099,0.0,0.0029702970297029695,0.0,-1.0,0.0015228426395939086,0.0015228426395939086,0.0015228426395939086,0.0017142857142857144,0.0,-1.0
