model_id,dataset,image_id,image_file,prompt,score_threshold,r_squared,rmse,mape,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
owlv2,1,1,SAGIT22_C_4175_2022_05_27-65-19.tif,plant,0,nan,15.0,93.75,[15],[16],0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,2,SAGIT22_C_4175_2022_05_27-25-21.tif,plant,0,nan,8.0,88.88888888888889,[8],[9],0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,3,SAGIT22_C_4175_2022_05_27-53-22.tif,plant,0,nan,15.0,93.75,[15],[16],0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,4,SAGIT22_C_4175_2022_05_27-32-30.tif,plant,0,nan,7.0,87.5,[7],[8],0.125,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
owlv2,1,5,SAGIT22_C_4175_2022_05_27-34-45.tif,plant,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,6,SAGIT22_C_4175_2022_05_27-68-45.tif,plant,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,7,SAGIT22_C_4175_2022_05_27-67-57.tif,plant,0,nan,15.0,93.75,[15],[16],0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,8,SAGIT22_C_4175_2022_05_27-35-60.tif,plant,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,9,SAGIT22_C_4175_2022_05_27-75-67.tif,plant,0,nan,13.0,92.85714285714286,[13],[14],0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,10,SAGIT22_C_4175_2022_05_27-35-78.tif,plant,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,11,SAGIT22_C_4175_2022_05_27-44-97.tif,plant,0,nan,13.0,92.85714285714286,[13],[14],0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,12,SAGIT22_C_4175_2022_05_27-65-111.tif,plant,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
owlv2,1,1,SAGIT22_C_4175_2022_05_27-65-19.tif,maize,0,nan,15.0,93.75,[15],[16],0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,2,SAGIT22_C_4175_2022_05_27-25-21.tif,maize,0,nan,8.0,88.88888888888889,[8],[9],0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,3,SAGIT22_C_4175_2022_05_27-53-22.tif,maize,0,nan,15.0,93.75,[15],[16],0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,4,SAGIT22_C_4175_2022_05_27-32-30.tif,maize,0,nan,7.0,87.5,[7],[8],0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,5,SAGIT22_C_4175_2022_05_27-34-45.tif,maize,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,6,SAGIT22_C_4175_2022_05_27-68-45.tif,maize,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,7,SAGIT22_C_4175_2022_05_27-67-57.tif,maize,0,nan,15.0,93.75,[15],[16],0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,8,SAGIT22_C_4175_2022_05_27-35-60.tif,maize,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
